PLAYER,POSITION,FG%,FT%,3PM,REB,AST,STL,BLK,PTS
Kevin Durant,F,0.499,0.892,1.8,7.7,4.4,1.4,1.2,28
LeBron James,F,0.549,0.759,1.3,7.9,6.9,1.8,0.8,27.1
James Harden,G,0.445,0.851,2.2,4.7,6,1.8,0.4,24.7
Chris Paul,G,0.478,0.88,1.1,3.8,9.6,2.4,0.1,17.4
Stephen Curry,G,0.458,0.906,3.2,4.1,6.8,1.6,0.2,22
Kevin Love,F,0.425,0.793,1.4,14,2.3,0.7,0.5,21.6
Kyrie Irving,G,0.466,0.861,2,3.9,6.1,1.6,0.4,23
Marc Gasol,C,0.495,0.807,0,8.2,3.7,1,1.8,14.3
Paul George,G,0.451,0.812,2.3,7.1,4.2,1.9,0.7,21.3
Carmelo Anthony,F,0.452,0.827,2.2,6.7,2.7,0.9,0.5,27.5
Deron Williams,G,0.46,0.854,1.6,3.2,10,1.2,0.4,19
Serge Ibaka,C,0.561,0.733,0.2,8.2,0.5,0.4,3.3,12.6
Nicolas Batum,G,0.434,0.849,2.3,5.5,4.8,1.2,1.1,14.7
Dirk Nowitzki,F,0.477,0.878,1.2,7,2.5,0.7,0.6,19.9
Dwyane Wade,G,0.516,0.765,0.3,4.9,4.7,1.7,1,21.9
LaMarcus Aldridge,F,0.492,0.807,0,8.8,2.5,0.9,1.1,21.4
Al Jefferson,C,0.495,0.764,0,10.2,2,0.9,1.7,20.6
Derrick Rose,G,0.45,0.84,1.9,3.8,7.8,1.1,0.7,24.2
John Wall,G,0.449,0.8,0.2,4.6,8.1,1.4,0.7,20.3
Ricky Rubio,G,0.36,0.8,0.7,4.6,8.6,2.7,0.1,12.2
Anthony Davis,F,0.516,0.751,0,9,1.1,1.3,1.9,14.9
Josh Smith,F,0.485,0.627,0.6,8,4,1.5,1.9,17.9
Damian Lillard,G,0.429,0.845,2.2,3,6.2,0.9,0.2,18.3
Al Horford,C,0.546,0.732,0.1,10.9,3.4,1,1.2,18.8
Ty Lawson,G,0.472,0.769,1.2,3,6.6,1.4,0.1,16.3
Joakim Noah,C,0.502,0.748,0,10.7,3.2,1,1.8,11.6
Brandon Jennings,G,0.423,0.815,1.8,3.2,7.7,1.7,0.2,17.2
Jrue Holiday,G,0.433,0.771,1.1,4,7,1.6,0.4,16.3
David Lee,C,0.514,0.793,0,10.6,3.3,0.9,0.3,18.4
Tony Parker,G,0.511,0.825,0.3,3,7.5,0.9,0.1,19.5
Dwight Howard,C,0.58,0.512,0,12.9,1.5,1.2,2.3,18.4
Blake Griffin,F,0.535,0.654,0.1,9.4,3.6,1.1,0.6,19.5
Mike Conley,G,0.44,0.822,1.2,2.8,6.2,2.1,0.3,14
Rudy Gay,F,0.431,0.807,1.3,6.3,2.6,1.5,0.8,19
Ersan Ilyasova,F,0.466,0.804,1.7,9,1.8,1.1,0.6,17
Kemba Walker,G,0.436,0.801,1.5,3.4,6.6,2,0.4,17.4
Larry Sanders,F,0.484,0.595,0,10.8,1.4,1,3,13
DeMarcus Cousins,F,0.456,0.722,0.1,10.3,2.5,1.4,0.9,17.4
Brook Lopez,C,0.514,0.771,0,6.3,1,0.4,1.9,17.4
Klay Thompson,G,0.428,0.846,2.5,3.7,2.4,1.1,0.5,17.2
