RNK,"PLAYER, TEAM POS",  FG%,  FT%,  3PM,  REB,  AST,  STL,  BLK,  PTS
1,"Kevin Durant, OKC SFRecent News",0.499,0.892,1.8,7.7,4.4,1.4,1.2,28
2,"Carmelo Anthony, NY SF",0.452,0.827,2.2,6.7,2.7,0.9,0.5,27.5
3,"LeBron James, Mia SFBreaking News",0.549,0.759,1.3,7.9,6.9,1.8,0.8,27.1
4,"Kobe Bryant*, LAL SG, SF  OBreaking News",0.453,0.839,1.6,5.3,5.3,1.3,0.3,26.3
5,"James Harden, Hou SG  DTDBreaking News",0.445,0.851,2.2,4.7,6,1.8,0.4,24.7
6,"Derrick Rose, Chi PGBreaking News",0.45,0.84,1.9,3.8,7.8,1.1,0.7,24.2
7,"Russell Westbrook*, OKC PG  ORecent News",0.443,0.811,1,5,7.1,1.8,0.3,23.1
8,"Kyrie Irving, Cle PGBreaking News",0.466,0.861,2,3.9,6.1,1.6,0.4,23
9,"Stephen Curry, GS PG, SGBreaking News",0.458,0.906,3.2,4.1,6.8,1.6,0.2,22
10,"Dwyane Wade, Mia SG",0.516,0.765,0.3,4.9,4.7,1.7,1,21.9
11,"Kevin Love, Min PFBreaking News",0.425,0.793,1.4,14,2.3,0.7,0.5,21.6
12,"LaMarcus Aldridge, Por PF, CBreaking News",0.492,0.807,0,8.8,2.5,0.9,1.1,21.4
13,"Paul George, Ind SF, SGBreaking News",0.451,0.812,2.3,7.1,4.2,1.9,0.7,21.3
14,"Al Jefferson, Cha C  DTDBreaking News",0.495,0.764,0,10.2,2,0.9,1.7,20.6
15,"John Wall, Wsh PGRecent News",0.449,0.8,0.2,4.6,8.1,1.4,0.7,20.3
16,"Dirk Nowitzki, Dal PFBreaking News",0.477,0.878,1.2,7,2.5,0.7,0.6,19.9
17,"Tony Parker, SA PGRecent News",0.511,0.825,0.3,3,7.5,0.9,0.1,19.5
18,"Blake Griffin, LAC PF",0.535,0.654,0.1,9.4,3.6,1.1,0.6,19.5
19,"Monta Ellis, Dal PG, SGBreaking News",0.426,0.778,1.2,3.5,5.6,1.8,0.4,19.1
20,"Deron Williams, Bkn PGBreaking News",0.46,0.854,1.6,3.2,10,1.2,0.4,19
21,"Rudy Gay, Tor SFBreaking News",0.431,0.807,1.3,6.3,2.6,1.5,0.8,19
22,"Al Horford, Atl CBreaking News",0.546,0.732,0.1,10.9,3.4,1,1.2,18.8
23,"Eric Gordon, Nor SGRecent News",0.419,0.83,1.5,2.1,3.5,1.1,0.2,18.4
24,"Dwight Howard, Hou CBreaking News",0.58,0.512,0,12.9,1.5,1.2,2.3,18.4
25,"Paul Pierce, Bkn SF",0.446,0.84,1.5,4.9,4,1.1,0.4,18.4
26,"Jeff Green, Bos SF  DTDRecent News",0.459,0.809,1.3,6,2.7,1.1,0.9,18.4
27,"David Lee, GS PF, C  DTDBreaking News",0.514,0.793,0,10.6,3.3,0.9,0.3,18.4
28,"O.J. Mayo, Mil SGBreaking News",0.415,0.81,2.3,3.9,4.6,1.2,0.4,18.3
29,"Damian Lillard, Por PGBreaking News",0.429,0.845,2.2,3,6.2,0.9,0.2,18.3
30,"Josh Smith, Det SF, PFBreaking News",0.485,0.627,0.6,8,4,1.5,1.9,17.9
31,"Paul Millsap, Atl PF  DTDBreaking News",0.496,0.753,0.1,8.9,3,1.7,1.1,17.9
32,"DeMar DeRozan, Tor SGRecent News",0.444,0.826,0.3,3.8,2.3,0.9,0.3,17.8
33,"Thaddeus Young, Phi SFRecent News",0.507,0.633,0,7.9,1.9,1.9,0.7,17.6
34,"Tobias Harris, Orl PF, SF  DTDBreaking News",0.456,0.76,1.1,8.2,1.8,0.9,1.3,17.5
35,"Brook Lopez, Bkn C",0.514,0.771,0,6.3,1,0.4,1.9,17.4
36,"Kemba Walker, Cha PGBreaking News",0.436,0.801,1.5,3.4,6.6,2,0.4,17.4
37,"Chris Paul, LAC PGBreaking News",0.478,0.88,1.1,3.8,9.6,2.4,0.1,17.4
38,"DeMarcus Cousins, Sac C, PFBreaking News",0.456,0.722,0.1,10.3,2.5,1.4,0.9,17.4
39,"Chris Bosh, Mia C, PFBreaking News",0.518,0.811,0.2,7.1,1.7,0.9,1.1,17.3
40,"Bradley Beal, Wsh SGBreaking News",0.462,0.797,2.1,4.3,2.7,1.1,0.6,17.3
41,"Klay Thompson, GS SG, SFBreaking News",0.428,0.846,2.5,3.7,2.4,1.1,0.5,17.2
42,"Brandon Jennings*, Det PG  ORecent News",0.423,0.815,1.8,3.2,7.7,1.7,0.2,17.2
43,"Ersan Ilyasova, Mil PF, SF  DTDRecent News",0.466,0.804,1.7,9,1.8,1.1,0.6,17
44,"Kevin Martin, Min SGBreaking News",0.44,0.891,2.2,2.7,1.9,1,0.1,16.9
45,"J.R. Smith*, NY SG  OBreaking News",0.415,0.752,1.9,4.4,2.7,1.3,0.3,16.7
46,"Luol Deng, Chi SFBreaking News",0.449,0.776,1.4,6.3,2.9,1,0.5,16.6
47,"Tim Duncan, SA PF, CBreaking News",0.499,0.776,0,9.6,2.6,0.7,2.3,16.6
48,"Tyreke Evans, Nor SF, SGBreaking News",0.459,0.776,0.6,4.7,4.2,1.4,0.5,16.5
49,"Jonas Valanciunas, Tor C  DTDBreaking News",0.527,0.789,0,8.5,1,0.4,1.8,16.4
50,"Jrue Holiday, Nor PG",0.433,0.771,1.1,4,7,1.6,0.4,16.3
